iter	Passed	Remaining
0	30	30222
1	68	34411
2	102	34066
3	137	34140
4	171	34083
5	204	33931
6	240	34056
7	275	34164
8	306	33754
9	341	33806
10	379	34147
11	415	34224
12	452	34351
13	493	34735
14	530	34819
15	572	35181
16	611	35357
17	647	35312
18	693	35784
19	730	35808
20	775	36176
21	815	36255
22	855	36339
23	893	36351
24	931	36331
25	972	36420
26	1015	36603
27	1060	36811
28	1101	36865
29	1152	37272
30	1230	38460
31	1272	38483
32	1312	38458
33	1366	38829
34	1403	38703
35	1439	38548
36	1474	38380
37	1513	38316
38	1559	38427
39	1597	38334
40	1644	38464
41	1685	38435
42	1724	38388
43	1764	38347
44	1808	38372
45	1850	38374
46	1892	38377
47	1932	38336
48	1976	38360
49	2014	38279
50	2051	38166
51	2088	38067
52	2124	37967
53	2158	37820
54	2199	37799
55	2235	37689
56	2274	37622
57	2315	37610
58	2350	37490
59	2386	37394
60	2423	37302
61	2463	37276
62	2498	37153
63	2532	37039
64	2568	36948
65	2610	36938
66	2644	36820
67	2677	36697
68	2712	36597
69	2745	36475
70	2780	36384
71	2814	36272
72	2849	36181
73	2881	36061
74	2917	35984
75	2952	35894
76	2985	35793
77	3019	35687
78	3051	35578
79	3084	35468
80	3119	35396
81	3152	35296
82	3186	35207
83	3219	35108
84	3254	35035
85	3286	34930
86	3321	34853
87	3354	34762
88	3391	34716
89	3427	34659
90	3460	34564
91	3494	34484
92	3527	34400
93	3559	34310
94	3595	34251
95	3630	34182
96	3663	34103
97	3696	34021
98	3733	33974
99	3768	33919
100	3801	33833
101	3832	33744
102	3865	33661
103	3906	33658
104	3942	33601
105	3976	33534
106	4011	33476
107	4046	33421
108	4080	33352
109	4112	33276
110	4145	33203
111	4188	33206
112	4221	33136
113	4254	33062
114	4286	32990
115	4319	32918
116	4352	32850
117	4387	32797
118	4419	32720
119	4455	32676
120	4492	32633
121	4528	32587
122	4560	32517
123	4593	32450
124	4629	32408
125	4662	32343
126	4702	32327
127	4738	32280
128	4774	32234
129	4809	32183
130	4841	32113
131	4875	32061
132	4913	32030
133	4950	31990
134	4986	31951
135	5019	31889
136	5052	31829
137	5085	31763
138	5119	31712
139	5153	31657
140	5186	31597
141	5219	31536
142	5251	31474
143	5288	31437
144	5323	31392
145	5359	31346
146	5402	31351
147	5436	31295
148	5469	31235
149	5501	31175
150	5536	31131
151	5570	31075
152	5612	31068
153	5646	31016
154	5680	30970
155	5713	30909
156	5746	30856
157	5778	30796
158	5812	30745
159	5846	30693
160	5882	30652
161	5914	30596
162	5947	30542
163	5980	30487
164	6013	30432
165	6059	30442
166	6092	30387
167	6126	30340
168	6160	30293
169	6193	30240
170	6226	30185
171	6263	30150
172	6295	30093
173	6329	30048
174	6362	29995
175	6396	29946
176	6429	29896
177	6463	29848
178	6500	29812
179	6535	29774
180	6568	29720
181	6604	29685
182	6637	29632
183	6670	29581
184	6704	29534
185	6738	29490
186	6771	29440
187	6805	29393
188	6840	29353
189	6874	29306
190	6909	29267
191	6945	29230
192	6977	29176
193	7011	29132
194	7045	29084
195	7077	29030
196	7110	28983
197	7144	28938
198	7177	28890
199	7214	28856
200	7246	28807
201	7279	28756
202	7315	28722
203	7348	28674
204	7381	28626
205	7413	28575
206	7446	28527
207	7491	28524
208	7530	28500
209	7584	28532
210	7641	28575
211	7690	28583
212	7727	28551
213	7761	28506
214	7794	28460
215	7828	28413
216	7863	28375
217	7918	28406
218	7950	28352
219	7984	28307
220	8020	28271
221	8054	28226
222	8088	28183
223	8122	28137
224	8159	28106
225	8192	28056
226	8226	28012
227	8259	27965
228	8292	27919
229	8328	27883
230	8363	27842
231	8396	27795
232	8429	27749
233	8463	27706
234	8499	27667
235	8531	27619
236	8564	27572
237	8598	27530
238	8634	27492
239	8672	27463
240	8708	27426
241	8749	27405
242	8785	27368
243	8821	27333
244	8861	27308
245	8895	27266
246	8931	27227
247	8967	27193
248	9003	27156
249	9041	27124
250	9079	27095
251	9118	27064
252	9158	27040
253	9200	27021
254	9242	27003
255	9282	26978
256	9319	26943
257	9360	26920
258	9399	26891
259	9441	26870
260	9481	26845
261	9521	26820
262	9562	26797
263	9602	26769
264	9643	26747
265	9682	26718
266	9719	26683
267	9757	26650
268	9791	26608
269	9829	26575
270	9864	26534
271	9902	26504
272	9940	26471
273	9982	26450
274	10018	26413
275	10052	26370
276	10087	26328
277	10128	26305
278	10161	26259
279	10194	26213
280	10227	26169
281	10260	26124
